id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26604,VOBI,medium_airport,"Bellary Airport",15.162799835205078,76.88279724121094,30,AS,IN,IN-KA,Bellary,0,VOBI,BEP,,,http://en.wikipedia.org/wiki/Bellary_Airport,"Jindal Vijayanagar, Vijaynagar",250,2008-06-13T14:30:04+00:00
26613,VODG,medium_airport,"Dundigul Air Force Academy",17.627199173,78.4033966064,2013,AS,IN,IN-TG,Hyderabad,0,VODG,,,,http://en.wikipedia.org/wiki/Dundigul_Air_Force_Academy,,250,2016-01-12T23:29:15+00:00
26506,VEJS,medium_airport,"Sonari Airport",22.8132,86.1688,475,AS,IN,IN-JH,Jamshedpur,0,VEJS,IXW,,,https://en.wikipedia.org/wiki/Sonari_Airport,,250,2018-04-30T11:57:37+00:00
26567,VIKO,medium_airport,"Kota Airport",25.160200119,75.84559631350001,896,AS,IN,IN-RJ,Kota,0,VIKO,KTU,,,http://en.wikipedia.org/wiki/Kota_Airport,,250,2015-02-11T00:03:59+00:00
26571,VIPK,medium_airport,"Pathankot Airport",32.233611,75.634444,1017,AS,IN,IN-PB,Pathankot,1,VIPK,IXP,,,https://en.wikipedia.org/wiki/Pathankot_Airport,,250,2018-04-30T11:07:48+00:00
26621,VOPC,medium_airport,"Pondicherry Airport",11.968,79.812,134,AS,IN,IN-TN,Pondicherry,0,VOPC,PNY,,,https://en.wikipedia.org/wiki/Pondicherry_Airport,,250,2018-04-30T10:09:06+00:00
26608,VOCC,small_airport,"Willingdon Island Air Base",9.947389602661133,76.27310180664062,8,AS,IN,IN-KL,Kochi,0,VOCC,,,,http://en.wikipedia.org/wiki/Willingdon_Island,"RAF Willingdon Island, Gochin, COK",125,2008-06-13T14:30:04+00:00
26619,VONS,small_airport,"Nagarjuna Sagar Airport",16.542699813842773,79.3187026977539,658,AS,IN,IN-AP,,0,VONS,,,,,,50,2008-06-13T14:30:04+00:00
26493,VEBK,small_airport,"Bokaro Airport",23.64349937438965,86.1489028930664,715,AS,IN,IN-BR,,0,VEBK,,,,,,50,2008-06-13T14:30:04+00:00
3286,VA1E,small_airport,"Bhilai Airport",21.294200897216797,81.37950134277344,1014,AS,IN,IN-CT,,0,VA1E,,VA1E,,,,50,2009-01-30T17:05:03+00:00
3291,VA1K,small_airport,"Raedhanpur Airport",23.222299575805664,68.89129638671875,135,AS,IN,IN-GJ,,0,VA1K,,VA1K,,,"Naliya Air Force Station",50,2008-06-13T14:30:04+00:00
26548,VIBW,small_airport,"Bhiwani Airport",28.836999893188477,76.1791000366211,720,AS,IN,IN-HR,,0,VIBW,,,,,,50,2008-06-13T14:30:04+00:00
3310,VE36,small_airport,"Nuagaon Airport",20.511699676513672,83.4480972290039,656,AS,IN,IN-OR,,0,VE36,,VE36,,,,50,2008-06-13T14:30:04+00:00
26572,VIPL,small_airport,"Patiala Airport",30.314800262451172,76.364501953125,820,AS,IN,IN-PB,,0,VIPL,,,,,,50,2008-06-13T14:30:04+00:00
26580,VIUT,small_airport,"Uttarlai Airport",25.812999725341797,71.4822998046875,500,AS,IN,IN-RJ,,0,VIUT,,,,,"Uttarlai Air Force Station",50,2008-06-13T14:30:04+00:00
26614,VOHK,small_airport,"Hakimpet Airport",17.5534992218,78.5249023438,2020,AS,IN,IN-TG,,0,VOHK,,,,,"Hakimpeth Air Force Station, Hakimpet Air Force Station, VO28",50,2016-01-12T23:30:43+00:00
26574,VIRB,small_airport,"Fursatganj Airport",26.24850082397461,81.38050079345703,360,AS,IN,IN-UP,,0,VIRB,,,,,,50,2008-06-13T14:30:04+00:00
26551,VICX,medium_airport,"Kanpur Airport",26.404301,80.410103,410,AS,IN,IN-UP,Kanpur,0,VICX,KNU,,,https://en.wikipedia.org/wiki/Kanpur_Airport,"Chakeri Air Force Station",50,2018-04-30T10:45:49+00:00
3288,VA1G,medium_airport,"Rewa Airport, Chorhata, REWA",24.503401,81.220299,1000,AS,IN,IN-MP,Rewa,1,VA1G,REW,VA1G,,,,50,2017-04-08T07:16:33+00:00
26625,VOSX,small_airport,"Coimbatore Air Force Station",11.01360034942627,77.15969848632812,1250,AS,IN,IN-TN,Sulur,0,VOSX,,,,,,50,2008-06-13T14:30:04+00:00
26631,VOYK,small_airport,"Yelahanka Air Force Station",13.135499954223633,77.60600280761719,3045,AS,IN,IN-KA,Yelahanka,0,VOYK,,,,http://en.wikipedia.org/wiki/Yelahanka_Air_Force_Station,,50,2009-03-25T09:32:06+00:00
312234,IN-0090,small_airport,"Deoghar Airstrip",24.44666667,86.70694444,361,AS,IN,IN-JH,,0,,,,,,,0,2014-06-19T08:10:29+00:00
299921,IN-0068,closed,kanha,22.092638604100003,80.5955314636,,AS,IN,IN-MP,,0,,,,,,,0,2011-11-15T09:54:20+00:00
301051,IN-0074,small_airport,"Barbil Aerodrome (JSPL)",22.0486138889,85.3741944444,,AS,IN,IN-OR,,0,,,,,,,0,2012-03-25T05:08:06+00:00
309893,VEKJ,small_airport,"KEONJHAR AIRPORT",21.696666666699997,85.58166666670002,,AS,IN,IN-OR,,1,VEKJ,,,,,,0,2014-03-19T22:31:25+00:00
44908,IN-0013,small_airport,"Nadirgul Airport",17.3060665131,78.5604858398,1811,AS,IN,IN-TG,,0,,,,http://www.aai.aero/allAirports/nadirgul.jsp,http://en.wikipedia.org/wiki/Nadirgul_Airport,"NDGL, Nadirgul,",0,2016-01-12T23:33:27+00:00
309591,IN-0087,heliport,GAUCHER,30.284444444400002,79.16166666670001,,AS,IN,IN-UL,,0,,,,,,,0,2013-09-16T09:29:25+00:00
46481,IN-0023,small_airport,"Amreli Airstrip",21.6198508623,71.22333526610001,,AS,IN,IN-GJ,Amreli,0,,,,,,,0,2010-09-15T10:20:27+00:00
301145,IN-0077,closed,"Bhagalpur Airport",25.249359,87.009779,,AS,IN,IN-BR,Bhagalpur,0,,,,,,,0,2014-03-19T22:38:35+00:00
44629,IN-VOHP,small_airport,"Kopal,Hospet Airport",15.358334,76.51667,1698,AS,IN,IN-KA,Hospete,0,,,VOHP,,,"koppal,hospete,airport",0,2009-10-20T12:07:01+00:00
44630,VOKP,small_airport,"Koppal Aerodrome",15.359100341796875,76.21929931640625,1700,AS,IN,IN-KA,Koppal,0,VOKP,,,,,,0,2009-08-05T21:58:06+00:00
46581,IN-0053,small_airport,"Shibpur Airstrip",13.236316301099999,93.0497306585,,AS,IN,IN-AN,Madhupur,0,,,,,,,0,2010-12-29T19:26:41+00:00
26451,VAKP,medium_airport,"Kolhapur Airport",16.6646995544,74.2893981934,1996,AS,IN,IN-MM,,1,VAKP,KLH,,,http://en.wikipedia.org/wiki/Kolhapur_Airport,,800,2010-02-21T12:47:19+00:00
26579,VIST,small_airport,"Satna Airport",24.5623,80.854897,1060,AS,IN,IN-MP,,1,VIST,TNI,,,https://en.wikipedia.org/wiki/Satna_Airport,,800,2018-09-15T16:16:31+00:00
26490,VEAZ,heliport,"Tuirial Airfield",23.7432,92.8024,1093,AS,IN,IN-MZ,Aizawl,0,VEAZ,,,,,,800,2014-07-04T15:42:03+00:00
26513,VEMR,medium_airport,"Dimapur Airport",25.883899688699998,93.77110290530001,487,AS,IN,IN-NL,Dimapur,1,VEMR,DMU,,,http://en.wikipedia.org/wiki/Dimapur_Airport,,800,2010-09-11T09:34:10+00:00
26558,VIGR,medium_airport,"Gwalior Airport",26.29330062866211,78.22779846191406,617,AS,IN,IN-MP,Gwalior,1,VIGR,GWL,,,http://en.wikipedia.org/wiki/Gwalior_Airport,"Maharajpur Air Force Station",800,2008-06-13T14:30:04+00:00
26566,VIKA,small_airport,"Kanpur Civil Airport",26.441401,80.364899,411,AS,IN,IN-UP,Kanpur,0,VIKA,,,,https://en.wikipedia.org/wiki/Kanpur_Civil_Airport,,800,2018-04-30T10:43:37+00:00
26511,VELR,medium_airport,"North Lakhimpur Airport",27.295499801635742,94.09760284423828,330,AS,IN,IN-AS,Lilabari,1,VELR,IXI,,,http://en.wikipedia.org/wiki/Lilabari_Airport,,800,2008-06-13T14:30:04+00:00
26492,VEBI,medium_airport,"Shillong Airport",25.70359992980957,91.97869873046875,2910,AS,IN,IN-ML,Shillong,1,VEBI,SHL,,,http://en.wikipedia.org/wiki/Shillong_Airport,"Barapani Airport, Barapani Air Force Station, Umroi Airport",800,2008-06-13T14:30:04+00:00
26612,VOCX,medium_airport,"Car Nicobar Air Force Station",9.152509689331055,92.8196029663086,5,AS,IN,IN-AN,,0,VOCX,CBD,,,http://en.wikipedia.org/wiki/Car_Nicobar_Air_Force_Base,Carnicobar,250,2008-06-13T14:30:04+00:00
26488,VEAN,medium_airport,"Along Airport",28.17530059814453,94.802001953125,900,AS,IN,IN-AR,,0,VEAN,IXV,,,http://en.wikipedia.org/wiki/Along_Airport,,250,2008-06-13T14:30:04+00:00
26498,VEDB,medium_airport,"Dhanbad Airport",23.833999633789062,86.42530059814453,847,AS,IN,IN-BR,,0,VEDB,DBD,,,,,250,2008-06-13T14:30:04+00:00
26514,VEMZ,medium_airport,"Muzaffarpur Airport",26.11910057067871,85.3136978149414,174,AS,IN,IN-BR,,0,VEMZ,MZU,,,,,250,2008-06-13T14:30:04+00:00
26441,VADN,medium_airport,"Daman Airport",20.43440055847168,72.84320068359375,33,AS,IN,IN-DD,,0,VADN,NMB,,,http://en.wikipedia.org/wiki/Daman_Airport,,250,2008-06-13T14:30:04+00:00
26552,VIDD,medium_airport,"Safdarjung Airport",28.58449935913086,77.20580291748047,705,AS,IN,IN-DL,,0,VIDD,,,,http://en.wikipedia.org/wiki/Safdarjung_Airport,,250,2008-06-13T14:30:04+00:00
26559,VIHR,medium_airport,"Hissar Airport",29.179399490356445,75.75530242919922,700,AS,IN,IN-HR,,0,VIHR,HSS,,,,,250,2008-06-13T14:30:04+00:00
26575,VISA,medium_airport,"Sirsa Air Force Station",29.56060028076172,75.006103515625,650,AS,IN,IN-HR,,0,VISA,,,,,,250,2008-06-13T14:30:04+00:00
26581,VIUX,medium_airport,"Udhampur Air Force Station",32.902198791503906,75.15619659423828,2066,AS,IN,IN-JK,,0,VIUX,,,,,,250,2008-06-13T14:30:04+00:00
26457,VARG,medium_airport,"Ratnagiri Airport",17.013599,73.327797,305,AS,IN,IN-MM,,0,VARG,RTC,,,https://en.wikipedia.org/wiki/Ratnagiri_Airport,,250,2018-04-30T11:42:45+00:00
26443,VAGN,small_airport,"Guna Airport",24.654699,77.347298,1600,AS,IN,IN-MP,,0,VAGN,GUX,,,,,250,2017-04-08T07:19:54+00:00
26568,VILD,medium_airport,"Ludhiana Airport",30.854700088500977,75.95259857177734,834,AS,IN,IN-PB,,0,VILD,LUH,,,http://en.wikipedia.org/wiki/Sahnewal_Airport,,250,2008-06-13T14:30:04+00:00
26564,VIJR,medium_airport,"Jaisalmer Airport",26.888700485229492,70.86499786376953,751,AS,IN,IN-RJ,,0,VIJR,JSA,,,http://en.wikipedia.org/wiki/Jaisalmer_Airport,"Jaisalmer Air Force Station",250,2008-06-13T14:30:04+00:00
26508,VEKR,medium_airport,"Kailashahar Airport",24.30820083618164,92.0072021484375,79,AS,IN,IN-TR,,0,VEKR,IXH,,,http://en.wikipedia.org/wiki/Kailashahar_Airport,,250,2008-06-13T14:30:04+00:00
26516,VEPH,medium_airport,"Panagarh Air Force Station",23.474300384499998,87.4274978638,240,AS,IN,IN-WB,,0,VEPH,,,,http://en.wikipedia.org/wiki/Panagarh_Airport,,250,2010-12-26T00:02:14+00:00
26432,VAAK,medium_airport,"Akola Airport",20.698999,77.058601,999,AS,IN,IN-MM,Akola,0,VAAK,AKD,,,https://en.wikipedia.org/wiki/Akola_Airport,,250,2018-04-30T11:37:04+00:00
26549,VIBY,medium_airport,"Bareilly Air Force Station",28.4221000671,79.45079803470001,580,AS,IN,IN-UP,Bareilly,0,VIBY,BEK,,,http://en.wikipedia.org/wiki/Trishul_Air-base,"Trishul Air Base",250,2014-06-15T13:46:37+00:00
26543,VIBK,medium_airport,"Nal Airport",28.070600509643555,73.20719909667969,750,AS,IN,IN-RJ,Bikaner,0,VIBK,BKB,,,,"Nal Air Force Station",250,2008-06-13T14:30:04+00:00
26435,VABI,medium_airport,"Bilaspur Airport",21.9884,82.111,899,AS,IN,IN-CT,Bilaspur,0,VEBU,PAB,,,https://en.wikipedia.org/wiki/Bilaspur_Airport,VABI,250,2018-04-30T10:19:24+00:00
26500,VEGK,medium_airport,"Gorakhpur Airport",26.739700317399997,83.4496994019,259,AS,IN,IN-UP,Gorakhpur,1,VEGK,GOP,,http://www.aai.aero/allAirports/gorakhpur.jsp,http://en.wikipedia.org/wiki/Gorakhpur_Airport,"Gorakhpur Air Force Station",250,2010-09-09T20:14:22+00:00
3312,VE44,medium_airport,"Hashimara Air Force Station",26.698299407958984,89.36910247802734,340,AS,IN,IN-WB,Jalpaiguri,0,VE44,,VE44,,,,250,2008-06-13T14:30:04+00:00
26611,VOCP,medium_airport,"Kadapa Airport",14.51,78.772778,430,AS,IN,IN-AP,Kadapa,1,VOCP,CDP,,,https://en.wikipedia.org/wiki/Kadapa_Airport,,250,2018-04-30T09:59:22+00:00
26449,VAKE,medium_airport,"Kandla Airport",23.1127,70.100304,96,AS,IN,IN-GJ,Kandla,1,VAKE,IXY,,http://aai.aero/allAirports/kandla_generalinfo.jsp,http://en.wikipedia.org/wiki/Kandla_Airport,,250,2019-01-04T02:24:38+00:00
26573,VIPT,medium_airport,"Pantnagar Airport",29.03339958190918,79.47370147705078,769,AS,IN,IN-UP,Pantnagar,0,VIPT,PGH,,,,Panthnagar,250,2008-08-23T11:02:45+00:00
26624,VOSM,medium_airport,"Salem Airport",11.78330039978,78.06559753418,1008,AS,IN,IN-TN,Salem,0,VOSM,SXV,,,https://en.wikipedia.org/wiki/Salem_Airport_(India),,250,2015-08-07T14:23:43+00:00
26524,VEZO,medium_airport,"Ziro Airport",27.588301,93.828102,5403,AS,IN,IN-AR,Ziro,0,VEZO,ZER,,,http://en.wikipedia.org/wiki/Zero_Airport,,250,2018-04-30T12:08:30+00:00
3343,VO94,small_airport,"Campbell Bay Airport",7.013040065765381,93.92279815673828,16,AS,IN,IN-AN,,0,VO94,,VO94,,,,50,2008-06-13T14:30:04+00:00
3317,VE67,small_airport,"Machuka Advanced Landing Ground",28.6024580064,94.12613868710001,7900,AS,IN,IN-AR,,0,VE67,,VE67,,,,50,2012-08-04T12:30:32+00:00
3320,VE91,small_airport,"Vijaynagar Advanced Landing Ground",27.1935997009,97.00370025630001,4167,AS,IN,IN-AR,,0,VE91,,VE91,,,,50,2010-03-15T23:54:54+00:00
3308,VE24,small_airport,"Sookerating Airport",27.552900314331055,95.57060241699219,400,AS,IN,IN-AS,,0,VE24,,VE24,,,,50,2008-06-13T14:30:04+00:00
30356,VERU,small_airport,"Rupsi India Airport",26.139699935913086,89.91000366210938,131,AS,IN,IN-AS,,0,VERU,RUP,,,,,50,2008-06-13T14:30:04+00:00
3311,VE41,small_airport,"Giridih Airport",24.201900482177734,86.28980255126953,1000,AS,IN,IN-BR,,0,VE41,,VE41,,,,50,2008-06-13T14:30:04+00:00
3315,VE54,small_airport,"Daltonganj Airport",24.01930046081543,84.09510040283203,803,AS,IN,IN-BR,,0,VE54,,VE54,,,,50,2008-06-13T14:30:04+00:00
26518,VEPU,small_airport,"Purnea Airport",25.759599685668945,87.41000366210938,129,AS,IN,IN-BR,,0,VEPU,,,,http://en.wikipedia.org/wiki/Purnea_Airport,,50,2008-06-13T14:30:04+00:00
30325,VERL,small_airport,"Raxaul Airport",26.966699600219727,84.83329772949219,259,AS,IN,IN-BR,,0,VERL,,,,,,50,2008-06-13T14:30:04+00:00
26442,VADS,small_airport,"Deesa Airport",24.267900466918945,72.20439910888672,485,AS,IN,IN-GJ,,0,VADS,,,,,,50,2008-06-13T14:30:04+00:00
3322,VI20,small_airport,"Bhilwara Airport",28.07710075378418,76.20500183105469,955,AS,IN,IN-HR,,0,VI20,,VI20,,,,50,2008-06-13T14:30:04+00:00
3323,VI40,small_airport,"Karnal Airport",29.714099884033203,77.0374984741211,829,AS,IN,IN-HR,,0,VI40,,VI40,,,,50,2008-06-13T14:30:04+00:00
3331,VI71,small_airport,"Kalka Airport",30.824569702148438,76.88365173339844,1700,AS,IN,IN-HR,,0,VI71,,VI71,,,,50,2008-12-12T05:11:01+00:00
29775,VECK,small_airport,"Chakulia Airport",22.460599899291992,86.70780181884766,430,AS,IN,IN-JH,,0,VECK,,,,,,50,2008-06-13T14:30:04+00:00
3325,VI57,small_airport,"Thoise Airport",34.6525993347168,77.37580108642578,10046,AS,IN,IN-JK,,0,VI57,,VI57,,,,50,2008-06-13T14:30:04+00:00
3327,VI65,small_airport,"Kargil Airport",34.5242996216,76.15589904790001,9604,AS,IN,IN-JK,,0,VI65,,VI65,,http://en.wikipedia.org/wiki/Kargil_Airport,,50,2011-10-06T15:38:00+00:00
3328,VI66,small_airport,"Fukche Advanced Landing Ground",32.937400817871094,79.21320343017578,13700,AS,IN,IN-JK,,0,VI66,,VI66,,,,50,2009-04-23T08:05:07+00:00
26541,VIAW,small_airport,"Awantipur Air Force Station",33.8765983581543,74.97570037841797,5393,AS,IN,IN-JK,,0,VIAW,,,,,,50,2008-06-13T14:30:04+00:00
42716,IN-0003,small_airport,"Daulat Beg Oldi Advanced Landing Ground",35.3964667088,77.9289650917,16200,AS,IN,IN-JK,,0,,,,,http://en.wikipedia.org/wiki/Daulat_Beg_Oldi_Advanced_Landing_Ground,,50,2010-03-15T23:13:30+00:00
3283,VA1B,small_airport,"Chanda Airport",19.994699478149414,79.22250366210938,625,AS,IN,IN-MM,,0,VA1B,,VA1B,,,,50,2008-06-13T14:30:04+00:00
3293,VA1M,small_airport,"Karad Airport",17.285900115966797,74.15809631347656,1890,AS,IN,IN-MM,,0,VA1M,,VA1M,,,,50,2008-06-13T14:30:04+00:00
3303,IN-VA47,small_airport,"Jalgaon Airport",20.962200164794922,75.62670135498047,800,AS,IN,IN-MM,,0,VA47,,VA47,,,,50,2008-06-13T14:30:04+00:00
3305,IN-VA53,small_airport,"Dhulia Airport",20.92650032043457,74.73709869384766,920,AS,IN,IN-MM,,0,VA53,,VA53,,,,50,2008-06-13T14:30:04+00:00
3284,VA1C,small_airport,"Birlagram Airport",23.4468994140625,75.42030334472656,1541,AS,IN,IN-MP,,0,VA1C,,VA1C,,,,50,2008-06-13T14:30:04+00:00
3287,VA1F,small_airport,"Sidhi Airport",24.402299880981445,81.8147964477539,1093,AS,IN,IN-MP,,0,VA1F,,VA1F,,,,50,2008-06-13T14:30:04+00:00
3290,VA1J,small_airport,"Dhana Airport",23.753599166870117,78.85579681396484,1706,AS,IN,IN-MP,,0,VA1J,,VA1J,,,,50,2008-06-13T14:30:04+00:00
3292,VA1L,small_airport,"Amla Airport",21.92639923095703,78.11360168457031,2435,AS,IN,IN-MP,,0,VA1L,,VA1L,,,,50,2008-06-13T14:30:04+00:00
3294,VA1N,small_airport,"Nimach Airport",24.43079948425293,74.8677978515625,1617,AS,IN,IN-MP,,0,VA1N,,VA1N,,,,50,2008-06-13T14:30:04+00:00
3295,VA1O,small_airport,"Burhar Airport",23.235200881958008,81.50370025634766,1500,AS,IN,IN-MP,,0,VA1O,,VA1O,,,,50,2008-06-13T14:30:04+00:00
3300,VA2D,small_airport,"Ratlam Airport",23.381399154663086,75.02559661865234,1702,AS,IN,IN-MP,,0,VA2D,,VA2D,,,,50,2008-06-13T14:30:04+00:00
3321,VE96,small_airport,"Thuniabhand Airport",22.00160026550293,78.91719818115234,2182,AS,IN,IN-MP,,0,VE96,,VE96,,,,50,2008-06-13T14:30:04+00:00
3334,VI76,small_airport,"Band Tal Airport",26.000099182128906,78.26180267333984,790,AS,IN,IN-MP,,0,VI76,,VI76,,,,50,2008-06-13T14:30:04+00:00
3316,VE62,small_airport,"Cuttack Airport",20.54960060119629,85.88629913330078,115,AS,IN,IN-OR,,0,VE62,,VE62,,,,50,2008-06-13T14:30:04+00:00
26505,VEJH,small_airport,"Jharsuguda Airport",21.91349983215332,84.05039978027344,751,AS,IN,IN-OR,,0,VEJH,,,,,,50,2008-06-13T14:30:04+00:00
26522,VEUK,small_airport,"Utkela Airport",20.097400665283203,83.18379974365234,680,AS,IN,IN-OR,,0,VEUK,,,,,,50,2008-06-13T14:30:04+00:00
3336,VI88,small_airport,"Jallowal Airport",31.559999465942383,75.34130096435547,741,AS,IN,IN-PB,,0,VI88,,VI88,,,,50,2008-06-13T14:30:04+00:00
26560,VIHX,small_airport,"Halwara Air Force Station",30.74850082397461,75.62979888916016,790,AS,IN,IN-PB,,0,VIHX,,,,http://en.wikipedia.org/wiki/Halwara_Air_Force_Base,,50,2008-06-13T14:30:04+00:00
3289,VA1H,small_airport,"Ondwa Airport",25.14150047302246,74.61150360107422,1450,AS,IN,IN-RJ,,0,VA1H,,VA1H,,,,50,2008-06-13T14:30:04+00:00
3297,VA2A,small_airport,"Phalodi Airport",27.112899780273438,72.38899993896484,781,AS,IN,IN-RJ,,0,VA2A,,VA2A,,,,50,2008-06-13T14:30:04+00:00
3302,IN-VA38,small_airport,"Sirohi Airport",24.895099639892578,72.84590148925781,1000,AS,IN,IN-RJ,,0,VA38,,VA38,,,,50,2008-06-13T14:30:04+00:00
3304,IN-VA51,small_airport,"Banswara Airport",23.58970069885254,74.31269836425781,700,AS,IN,IN-RJ,,0,VA51,,VA51,,,,50,2008-06-13T14:30:04+00:00
3306,IN-VA74,small_airport,"Abu Road Airport",24.494199752807617,72.78150177001953,875,AS,IN,IN-RJ,,0,VA74,,VA74,,,,50,2008-06-13T14:30:04+00:00
3324,VI43,small_airport,"Suratgarh New Airport",29.387800216674805,73.90390014648438,554,AS,IN,IN-RJ,,0,VI43,,VI43,,,"Phalodi Air Force Station",50,2008-06-13T14:30:04+00:00
3329,VI69,small_airport,"Jhunjhunu Airport",28.106700897216797,75.37560272216797,1110,AS,IN,IN-RJ,,0,VI69,,VI69,,,,50,2008-06-13T14:30:04+00:00
3330,VI70,small_airport,"Pilani New Airport",28.348800659179688,75.59369659423828,1100,AS,IN,IN-RJ,,0,VI70,,VI70,,,,50,2008-06-13T14:30:04+00:00
3332,VI73,small_airport,"Nagaur Airport",27.20829963684082,73.7114028930664,950,AS,IN,IN-RJ,,0,VI73,,VI73,,,,50,2008-06-13T14:30:04+00:00
3338,VO26,small_airport,"Kovilpatti Airport",9.153889656066895,77.82119750976562,325,AS,IN,IN-TN,,0,VO26,,VO26,,,,50,2008-06-13T14:30:04+00:00
3344,VO95,small_airport,"Hosur Airport",12.661299705505371,77.76719665527344,3116,AS,IN,IN-TN,,0,VO95,,VO95,,,,50,2008-06-13T14:30:04+00:00
26601,VOAR,small_airport,"Arkonam Airport",13.0712003708,79.69120025630001,265,AS,IN,IN-TN,,0,VOAR,,,,http://en.wikipedia.org/wiki/Arakkonam_Naval_Air_Station,"Arakkonam Naval Air Base",50,2010-04-25T19:11:47+00:00
30005,VEKM,small_airport,"Kamalpur Airport",24.13170051574707,91.81420135498047,131,AS,IN,IN-TR,,0,VEKM,IXQ,,,,,50,2008-06-13T14:30:04+00:00
3285,VA1D,small_airport,"Muirpur Airport",24.125200271606445,83.04060363769531,1122,AS,IN,IN-UP,,0,VA1D,,VA1D,,,,50,2008-06-13T14:30:04+00:00
3298,VA2B,small_airport,"Meerut Sw Airport",28.90489959716797,77.67729949951172,732,AS,IN,IN-UP,,0,VA2B,,VA2B,,,,50,2008-06-13T14:30:04+00:00
3335,VI82,small_airport,"Bharkot Airport",30.58289909362793,78.32340240478516,2983,AS,IN,IN-UP,,0,VI82,,VI82,,,,50,2008-06-13T14:30:04+00:00
3337,VI90,small_airport,"Akbarpur Airport",26.447599411010742,82.56819915771484,288,AS,IN,IN-UP,,0,VI90,,VI90,,,,50,2008-06-13T14:30:04+00:00
26553,VIDF,small_airport,"Pithorgarh Airport",29.593599319458008,80.23919677734375,4910,AS,IN,IN-UP,,0,VIDF,,,,,,50,2008-06-13T14:30:04+00:00
26556,VIDX,small_airport,"Hindon Air Force Station",28.707700729370117,77.35890197753906,700,AS,IN,IN-UP,,0,VIDX,,,,,,50,2008-06-13T14:30:04+00:00
26561,VIJN,small_airport,"Jhansi Airport",25.491199493408203,78.55840301513672,801,AS,IN,IN-UP,,0,VIJN,,,,,,50,2008-06-13T14:30:04+00:00
26577,VISP,small_airport,"Sarsawa Air Force Station",29.993900299072266,77.42530059814453,891,AS,IN,IN-UP,,0,VISP,,,,,Sarsawan,50,2008-06-13T14:30:04+00:00
3307,VE23,small_airport,"Burnpur Airport",23.631500244140625,86.97550201416016,310,AS,IN,IN-WB,,0,VE23,,VE23,,,,50,2008-06-13T14:30:04+00:00
